j,GM,Make,Model,Quantity,MarginalCost,Price,GPM,Weight,HP
25,1,Chevrolet,Impala,252694,17.0598941,20.066549,0.042220756,3612.805132,218.5054097
26,1,Chevrolet,K1500,56912,35.1117007,41.235223,0.058904409,5757.825344,321.0119483
27,1,Chevrolet,Malibu,110865,12.2463483,16.940387,0.037441928,3243.253497,169.086249
28,1,Chevrolet,Monte Carlo,21252,20.6331697,21.814633,0.0419969,3405.798795,235.1125541
29,1,Chevrolet,Silverado,616275,23.2218036,25.802004,0.05955822,4945.913855,286.6819439
30,1,Chevrolet,Tahoe,97357,32.4144899,37.127211,0.057729509,5382.434175,319.0002157
31,1,Chevrolet,Tahoe C1500,112180,31.5925767,35.102863,0.056005463,5560.684792,316.55821
32,1,Chevrolet,Tahoe K1500,102944,33.8625709,39.847301,0.05882353,5745,320
33,1,Chevrolet,Trailblazer,119848,21.6805238,25.200582,0.056340408,4518.861675,301.2934384
34,1,Chevrolet,Uplander,42502,17.4133077,22.681453,0.047619049,4214.882453,240
35,0,Chrysler,Aspen,27687,26.7183375,33.020375,0.061484333,4448.374743,304.6890237
36,0,Chrysler,Chrysler 300,119176,23.6309589,26.256621,0.045497261,3865.688083,253.1017571
37,0,Chrysler,Crossfire,3058,22.03099,26.7011,0.043698587,3084.314421,215
38,0,Chrysler,Pacifica,53759,19.4370018,24.930002,0.051352885,4443.621329,227.5
39,0,Chrysler,Pt Cruiser,93491,14.3586324,15.954036,0.043325625,3380.177536,189.8335669
40,0,Chrysler,Sebring,4039,19.7227168,24.136352,0.051120859,3766,250
41,0,Chrysler,Sebring,71925,17.0312059,17.812451,0.037644748,3310,173
42,0,Chrysler,Town & Country,108016,17.6054965,21.783885,0.049013462,4306.573304,187.5696193
43,0,Dodge,Caliber,168667,11.819013,16.46557,0.036423288,3048.381355,151.1990134
44,0,Dodge,Caravan,141271,19.9880227,21.097803,0.04876177,4202.224767,184.7738035
45,0,Dodge,Charger,71840,21.8596436,25.399604,0.048100922,4129.637966,288.9294265
46,0,Dodge,Dakota,35852,18.2248577,21.360953,0.057423446,4702.666403,219.1159489
47,0,Dodge,Durango,33950,23.7299237,27.477693,0.06374564,5050.871929,256.694109
48,0,Dodge,Magnum,24215,19.7886769,24.209641,0.045282464,4076.114062,245.4177163
49,0,Dodge,Nitro,73554,21.1572334,22.396926,0.051389925,4072,210
50,0,Dodge,Ram Truck,171683,21.672837,24.08093,0.061662026,5973.650197,289.8119208
51,0,Ford,Crown Victoria,4427,19.4328852,24.925428,0.050000001,4129,224
52,0,Ford,Edge,109593,21.7413834,27.490426,0.04865909,4177.5,265
53,0,Ford,Escape,96282,18.4078952,21.564328,0.04344774,3362.317728,176.89914
54,0,Ford,Expedition,37695,34.0042303,36.671367,0.063925631,5901,300
55,0,Ford,Expedition,37806,27.1550094,33.505566,0.067949086,5999.740094,300
56,0,Ford,Explorer,133474,21.1872219,26.874691,0.058619581,4601.336756,228.1559405
57,0,Ford,Five Hundred,59849,17.1408589,21.267621,0.042658847,3671.503333,203
58,0,Ford,Focus,225159,9.4943022,13.882558,0.034163747,2637.070557,136.1438317
59,0,Ford,Freestar,14302,18.2104892,21.344988,0.051351119,4295,201
60,0,Ford,Freestyle,34051,20.1760441,24.640049,0.044939402,4027.592012,203
61,0,Ford,Fusion,143617,16.9047945,18.783105,0.040829368,3191.983686,185.2002966
62,0,Ford,Lgt Convtnl 'F',360110,23.2104339,25.789371,0.06248267,5293.86705,265.9991086
63,0,Ford,Mustang,153032,20.2596459,25.844051,0.049330194,3447.699148,261.8654922
64,0,Ford,Ranger,65036,11.6807946,16.311994,0.049160127,3353.550746,160.8163786
65,0,Ford,Srw Super Duty,15539,24.3444781,25.938309,0.063672289,5882.076923,300
66,1,Gmc,Acadia,38563,29.0571911,33.396879,0.048606664,4822.5,275
67,1,Gmc,Denali,60478,41.1286166,46.809574,0.06666667,5850,380
68,1,Gmc,Envoy,42043,25.0461531,27.829059,0.05606902,4541.218122,293.1888543
69,0,Honda,Accord,402985,18.7522362,20.835818,0.037768058,3214.915099,188.58158
70,0,Honda,Civic,325023,13.2577971,18.064219,0.029979957,2734.273165,141.8798423
